Date,Open,High,Low,Close,Volume,return,log_return,sma_10,close_to_sma_10,sma_20,close_to_sma_20,sma_50,close_to_sma_50,ema_12,ema_26,rsi_14,momentum_10,volatility_20,roll_mean_5,roll_std_5,roll_skew_5,roll_kurt_5,roll_mean_20,roll_std_20,roll_skew_20,roll_kurt_20,fear,greed,herd,regime,target,fwd_return
2015-03-16,27.520422623715213,27.75812721252441,27.296048420518424,27.75812721252441,143497200,0.011004143843110326,0.010944038786720345,27.942291450500488,-0.006590878142629153,28.37149324417114,-0.02161909584271693,26.537693977355957,0.045988669407742266,27.906209659446112,27.69086318766305,48.4667040050706,-0.03207047984672495,0.013711648597572073,-0.003348868844863917,0.017319958870004037,0.34028481092788937,-2.54327066081782,-0.0007553812450638853,0.013711648597572073,-0.04545503597856417,-0.42358401788849465,0.3620466177025915,-1.1270377648147547,0.0,,1.0,0.016726638367380975
2015-03-17,27.969172096263534,28.284630179522157,27.91363362970817,28.222427368164062,204092400,0.016726638367380975,0.016588288769533666,27.890751075744628,0.011891981378295613,28.36271800994873,-0.00494630457262446,26.618290519714357,0.060264457902044155,27.95485853771041,27.730238312144607,53.35579091585808,-0.017934678002774262,0.014193439099817096,0.004133590592382763,0.015987882975170793,-0.7647716111544126,-1.6810909815928796,-0.00021414085219185198,0.014193439099817096,-0.06491728825426335,-0.662544748684251,0.3555804927209948,-1.087780887252935,0.0,,1.0,0.01125610609947647
2015-03-18,28.213535612946757,28.69338868574217,28.073579314164338,28.540102005004883,261083600,0.01125610609947647,0.011193227542397821,27.889195823669432,0.023339008605727907,28.359940814971925,0.006352664528053165,26.718871345520018,0.06816270926766643,28.044895994217253,27.790228215319445,56.40341046230356,-0.0005446389168887178,0.014339427618735977,0.010031189861881807,0.009988201994346501,-1.6885298353464893,3.1252362085116445,5.5133742833946e-07,0.014339427618735977,-0.09026481620054048,-0.7480407035729333,0.34945002988404805,-1.0523966386686054,0.0,,0.0,-0.007550106317264493
2015-03-19,28.60231356527291,28.713390511157467,28.30240615036455,28.324621200561523,183238000,-0.007550106317264493,-0.007578752649622267,27.913410568237303,0.014731651344394914,28.349388790130615,-0.0008736551518779834,26.815098419189454,0.056293762483147214,28.087930641347143,27.82981288089293,53.83401745770439,0.008622724899248313,0.014432944682776333,0.004905322453486604,0.0113138758443594,-0.41627977508768393,-2.9575758483394545,-0.00027207051583788,0.014432944682776333,-0.033744385632573495,-0.8203903751518947,0.41466663404510035,-0.8795927018873329,0.0,,0.0,-0.012549141398813357
2015-03-20,28.491232760007676,28.52455448333958,27.80477814097911,27.96917152404785,274780400,-0.012549141398813357,-0.01262854688693782,27.89785976409912,0.0025561731456009706,28.309400844573975,-0.012018245189789445,26.897622337341307,0.03983806350120922,28.069660007916482,27.84013574334885,49.803685027729834,-0.0055292378005609155,0.01453814178207979,0.003777528118777984,0.012949015398132532,-0.5447270599611946,-2.598593074304472,-0.0013082595441727852,0.01453814178207979,0.1582986259452984,-0.8558500453142543,0.6168230179373045,-0.999248761816156,0.0,,1.0,0.010405348481280718
2015-03-23,28.24020746085773,28.402378876416456,28.10691375038762,28.26020050048828,150838800,0.010405348481280718,0.010351585469746905,27.899415588378908,0.012931629731328664,28.245087146759033,0.0005350790263354277,26.967644691467285,0.04792987388438741,28.098973929850608,27.871251651285103,52.912081202519026,0.0005508387274268944,0.013251194644260838,0.0036577690464120625,0.01286798659345803,-0.5254141778210168,-2.5588965788781772,-0.0021393527891442774,0.013251194644260838,-0.11299391299262812,-1.1851628258518807,0.60483289403869,-0.9643797550353327,0.0,,0.0,-0.004087946911021545
2015-03-24,28.26463759420105,28.44457999143216,28.115793213344112,28.14467430114746,131369200,-0.004087946911021545,-0.004096325407690671,27.94784469604492,0.007042747204416555,28.184217357635497,-0.0014030212720212987,27.03482536315918,0.04105256546249758,28.106004756203973,27.891505180904538,51.547494825960875,0.017508473137545666,0.013224835851571885,-0.0005051480092684412,0.01078067361276608,0.2603689189532673,-2.7276201923023073,-0.0020316919677579705,0.013224835851571885,-0.1392497552643803,-1.1619178367643486,0.5639265582693871,-0.7296791338129941,0.0,,0.0,-0.026126810841618275
2015-03-25,28.11135075836797,28.17355357044147,27.409343719482425,27.409343719482425,206620800,-0.026126810841618275,-0.026474179751781346,27.973170852661134,-0.020155996477784766,28.124124622344972,-0.02541522313887934,27.09951416015625,0.011433030034970537,27.998826135169885,27.855789517095495,43.80385195837164,0.009326145234508587,0.013277212216044417,-0.00798173139748739,0.013262142610256775,0.036809370809048156,1.0255990212436334,-0.002059390274828138,0.013277212216044417,-0.1542115925625127,-1.1312240249162817,0.5925223365081691,-0.7471254096808199,0.0,,1.0,0.0069700265615615375
2015-03-26,27.27160089915023,27.742565869319627,27.23605547768138,27.600387573242188,190291600,0.0069700265615615375,0.006945848210577754,27.96850528717041,-0.013161865825453423,28.055478668212892,-0.016221113186221547,27.16373104095459,0.016074983647469177,27.937527894873316,27.836870854587843,46.07057603918871,-0.0016875459166540985,0.013003580320498045,-0.005077704821722184,0.014872286479821337,-0.5423587638829122,-0.8980014425613577,-0.0023436975156331972,0.013003580320498045,-0.15643355795337852,-1.0445711144039642,0.5821303443832845,-0.921205418248916,0.0,,0.0,-0.00796811344860926
2015-03-27,27.673707595254548,27.702586988271232,27.304933051374206,27.380464553833008,158184800,-0.00796811344860926,-0.008000028512863189,27.96095199584961,-0.020760646565351815,27.99760732650757,-0.02204269691611338,27.225408172607423,0.0056952821512366025,27.851825842405574,27.803062980457856,43.87652542642745,-0.002751053328099995,0.012734155011468493,-0.004161499231681365,0.014431515466508388,-0.8570811690923384,0.4543579416652186,-0.001990695568084749,0.012734155011468493,-0.20624358068686005,-0.8731004390391434,0.3452706127146112,-0.900169359242488,0.0,,1.0,0.02531436410472576
